Symptom 1,Symptom 2,Symptom 3,Medicine
itchy eyes,,,Cetirizine
itchy eyes,,,Cetirizine
fever,inflammation,,"Paracetamol, Diclofenac"
diarrhea,,,Lomotil
muscle pain,,,Paracetamol
joint pain,,,Diclofenac
headache,,,Paracetamol
heartburn,,,Aciloc
stomach acid,sneezing,,"Cetirizine, Aciloc"
heartburn,fungal infection,sneezing,"Cetirizine, Aciloc"
muscle pain,,,Paracetamol
fever,nausea,,"Aciloc, Paracetamol"
runny nose,nausea,joint pain,"Cetirizine, Aciloc, Diclofenac"
heartburn,nausea,sneezing,"Cetirizine, Aciloc"
inflammation,pain,,Diclofenac
heartburn,,,Aciloc
muscle pain,,,Paracetamol
sore throat,bacterial infection,headache,"Azithromycin, Paracetamol"
pain,stomach acid,heartburn,"Aciloc, Diclofenac"
respiratory infection,inflammation,sneezing,"Cetirizine, Azithromycin, Diclofenac"
cough,headache,heartburn,"Azithromycin, Paracetamol, Aciloc"
fungal infection,,,Cetirizine
nausea,bacterial infection,respiratory infection,"Azithromycin, Aciloc"
headache,,,Paracetamol
stomach acid,,,Aciloc
stomach acid,heartburn,,Aciloc
joint pain,,,Diclofenac
cough,,,Azithromycin
runny nose,inflammation,,"Cetirizine, Diclofenac"
inflammation,fever,sore throat,"Azithromycin, Paracetamol, Diclofenac"
fever,heartburn,,"Aciloc, Paracetamol"
fever,cough,stomach cramps,"Azithromycin, Lomotil, Paracetamol"
fever,,,Paracetamol
sneezing,stomach acid,,"Cetirizine, Aciloc"
pain,respiratory infection,muscle pain,"Azithromycin, Paracetamol, Diclofenac"
diarrhea,,,Lomotil
muscle pain,skin rash,pain,"Cetirizine, Paracetamol, Diclofenac"
skin rash,sore throat,stomach acid,"Cetirizine, Azithromycin, Aciloc"
nausea,,,Aciloc
stomach acid,,,Aciloc
runny nose,stomach cramps,,"Cetirizine, Lomotil"
headache,,,Paracetamol
fever,,,Paracetamol
pain,inflammation,,Diclofenac
skin rash,heartburn,,"Cetirizine, Aciloc"
itchy eyes,,,Cetirizine
joint pain,,,Diclofenac
stomach acid,bacterial infection,,"Azithromycin, Aciloc"
heartburn,,,Aciloc
heartburn,,,Aciloc
bacterial infection,,,Azithromycin
heartburn,fungal infection,,"Cetirizine, Aciloc"
muscle pain,heartburn,,"Aciloc, Paracetamol"
skin rash,nausea,muscle pain,"Cetirizine, Aciloc, Paracetamol"
inflammation,,,Diclofenac
pain,cough,,"Azithromycin, Diclofenac"
sneezing,,,Cetirizine
stomach acid,sore throat,,"Azithromycin, Aciloc"
joint pain,nausea,heartburn,"Aciloc, Diclofenac"
respiratory infection,sneezing,cough,"Cetirizine, Azithromycin"
cough,itchy eyes,,"Cetirizine, Azithromycin"
runny nose,stomach acid,,"Cetirizine, Aciloc"
headache,sneezing,,"Cetirizine, Paracetamol"
joint pain,,,Diclofenac
stomach cramps,,,Lomotil
heartburn,nausea,,Aciloc
sore throat,skin rash,fever,"Cetirizine, Azithromycin, Paracetamol"
heartburn,,,Aciloc
fungal infection,respiratory infection,,"Cetirizine, Azithromycin"
headache,,,Paracetamol
stomach cramps,heartburn,,"Aciloc, Lomotil"
respiratory infection,,,Azithromycin
sore throat,heartburn,,"Azithromycin, Aciloc"
sneezing,bacterial infection,fever,"Cetirizine, Azithromycin, Paracetamol"
stomach cramps,sore throat,,"Azithromycin, Lomotil"
joint pain,sore throat,,"Azithromycin, Diclofenac"
skin rash,pain,stomach cramps,"Cetirizine, Lomotil, Diclofenac"
sneezing,,,Cetirizine
stomach cramps,,,Lomotil
respiratory infection,,,Azithromycin
itchy eyes,,,Cetirizine
diarrhea,,,Lomotil
pain,nausea,,"Aciloc, Diclofenac"
stomach acid,pain,itchy eyes,"Cetirizine, Aciloc, Diclofenac"
sneezing,,,Cetirizine
pain,sore throat,heartburn,"Azithromycin, Aciloc, Diclofenac"
nausea,,,Aciloc
bacterial infection,,,Azithromycin
stomach cramps,pain,diarrhea,"Lomotil, Diclofenac"
sore throat,,,Azithromycin
inflammation,respiratory infection,skin rash,"Cetirizine, Azithromycin, Diclofenac"
headache,fungal infection,runny nose,"Cetirizine, Paracetamol"
fever,,,Paracetamol
fungal infection,muscle pain,headache,"Cetirizine, Paracetamol"
headache,,,Paracetamol
nausea,headache,,"Aciloc, Paracetamol"
sore throat,stomach acid,muscle pain,"Azithromycin, Aciloc, Paracetamol"
headache,skin rash,nausea,"Cetirizine, Aciloc, Paracetamol"
fungal infection,headache,stomach cramps,"Cetirizine, Lomotil, Paracetamol"
bacterial infection,muscle pain,,"Azithromycin, Paracetamol"
fever,itchy eyes,,"Cetirizine, Paracetamol"
diarrhea,,,Lomotil
fungal infection,,,Cetirizine
sneezing,inflammation,headache,"Cetirizine, Paracetamol, Diclofenac"
muscle pain,,,Paracetamol
pain,fever,,"Paracetamol, Diclofenac"
itchy eyes,pain,,"Cetirizine, Diclofenac"
headache,,,Paracetamol
headache,inflammation,fever,"Paracetamol, Diclofenac"
pain,cough,,"Azithromycin, Diclofenac"
fever,,,Paracetamol
fever,stomach cramps,,"Lomotil, Paracetamol"
skin rash,muscle pain,,"Cetirizine, Paracetamol"
bacterial infection,stomach cramps,sore throat,"Azithromycin, Lomotil"
muscle pain,,,Paracetamol
heartburn,muscle pain,stomach cramps,"Aciloc, Lomotil, Paracetamol"
inflammation,,,Diclofenac
muscle pain,joint pain,pain,"Paracetamol, Diclofenac"
muscle pain,sneezing,diarrhea,"Cetirizine, Lomotil, Paracetamol"
fever,fungal infection,joint pain,"Cetirizine, Paracetamol, Diclofenac"
skin rash,,,Cetirizine
sore throat,headache,bacterial infection,"Azithromycin, Paracetamol"
respiratory infection,heartburn,joint pain,"Azithromycin, Aciloc, Diclofenac"
runny nose,cough,pain,"Cetirizine, Azithromycin, Diclofenac"
inflammation,joint pain,heartburn,"Aciloc, Diclofenac"
fever,,,Paracetamol
fungal infection,bacterial infection,,"Cetirizine, Azithromycin"
nausea,joint pain,,"Aciloc, Diclofenac"
diarrhea,,,Lomotil
sore throat,fever,,"Azithromycin, Paracetamol"
nausea,,,Aciloc
pain,,,Diclofenac
stomach cramps,diarrhea,sore throat,"Azithromycin, Lomotil"
sneezing,joint pain,,"Cetirizine, Diclofenac"
stomach cramps,,,Lomotil
sore throat,muscle pain,bacterial infection,"Azithromycin, Paracetamol"
respiratory infection,stomach cramps,,"Azithromycin, Lomotil"
skin rash,headache,heartburn,"Cetirizine, Aciloc, Paracetamol"
joint pain,diarrhea,,"Lomotil, Diclofenac"
respiratory infection,muscle pain,fever,"Azithromycin, Paracetamol"
fever,,,Paracetamol
nausea,inflammation,,"Aciloc, Diclofenac"
stomach cramps,,,Lomotil
bacterial infection,sneezing,,"Cetirizine, Azithromycin"
respiratory infection,sneezing,stomach acid,"Cetirizine, Azithromycin, Aciloc"
fungal infection,nausea,,"Cetirizine, Aciloc"
sneezing,respiratory infection,itchy eyes,"Cetirizine, Azithromycin"
fever,,,Paracetamol
heartburn,,,Aciloc
respiratory infection,,,Azithromycin
fever,cough,,"Azithromycin, Paracetamol"
runny nose,skin rash,,Cetirizine
pain,,,Diclofenac
inflammation,,,Diclofenac
stomach acid,,,Aciloc
cough,headache,,"Azithromycin, Paracetamol"
sneezing,sore throat,bacterial infection,"Cetirizine, Azithromycin"
sore throat,stomach acid,,"Azithromycin, Aciloc"
nausea,inflammation,,"Aciloc, Diclofenac"
sore throat,sneezing,,"Cetirizine, Azithromycin"
sneezing,,,Cetirizine
bacterial infection,,,Azithromycin
bacterial infection,,,Azithromycin
inflammation,,,Diclofenac
sneezing,headache,nausea,"Cetirizine, Aciloc, Paracetamol"
joint pain,stomach cramps,,"Lomotil, Diclofenac"
runny nose,heartburn,,"Cetirizine, Aciloc"
itchy eyes,,,Cetirizine
fever,runny nose,,"Cetirizine, Paracetamol"
sneezing,,,Cetirizine
fungal infection,diarrhea,,"Cetirizine, Lomotil"
stomach cramps,muscle pain,fever,"Lomotil, Paracetamol"
joint pain,diarrhea,,"Lomotil, Diclofenac"
pain,headache,,"Paracetamol, Diclofenac"
sneezing,heartburn,,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
nausea,sneezing,inflammation,"Cetirizine, Aciloc, Diclofenac"
diarrhea,itchy eyes,,"Cetirizine, Lomotil"
stomach acid,fever,,"Aciloc, Paracetamol"
diarrhea,cough,,"Azithromycin, Lomotil"
muscle pain,inflammation,respiratory infection,"Azithromycin, Paracetamol, Diclofenac"
fever,,,Paracetamol
diarrhea,sneezing,pain,"Cetirizine, Lomotil, Diclofenac"
bacterial infection,stomach acid,respiratory infection,"Azithromycin, Aciloc"
headache,joint pain,stomach acid,"Aciloc, Paracetamol, Diclofenac"
sneezing,stomach acid,,"Cetirizine, Aciloc"
muscle pain,itchy eyes,,"Cetirizine, Paracetamol"
sore throat,,,Azithromycin
muscle pain,itchy eyes,,"Cetirizine, Paracetamol"
diarrhea,cough,,"Azithromycin, Lomotil"
stomach cramps,bacterial infection,heartburn,"Azithromycin, Lomotil, Aciloc"
fungal infection,headache,inflammation,"Cetirizine, Paracetamol, Diclofenac"
sneezing,,,Cetirizine
nausea,,,Aciloc
fever,heartburn,,"Aciloc, Paracetamol"
fever,,,Paracetamol
respiratory infection,,,Azithromycin
itchy eyes,sore throat,,"Cetirizine, Azithromycin"
respiratory infection,headache,,"Azithromycin, Paracetamol"
respiratory infection,headache,,"Azithromycin, Paracetamol"
fungal infection,heartburn,skin rash,"Cetirizine, Aciloc"
muscle pain,runny nose,,"Cetirizine, Paracetamol"
cough,,,Azithromycin
sore throat,muscle pain,fungal infection,"Cetirizine, Azithromycin, Paracetamol"
nausea,sneezing,inflammation,"Cetirizine, Aciloc, Diclofenac"
itchy eyes,,,Cetirizine
inflammation,bacterial infection,cough,"Azithromycin, Diclofenac"
headache,,,Paracetamol
bacterial infection,fever,,"Azithromycin, Paracetamol"
muscle pain,fungal infection,sneezing,"Cetirizine, Paracetamol"
muscle pain,inflammation,,"Paracetamol, Diclofenac"
stomach acid,runny nose,,"Cetirizine, Aciloc"
fungal infection,nausea,,"Cetirizine, Aciloc"
sneezing,,,Cetirizine
itchy eyes,nausea,,"Cetirizine, Aciloc"
joint pain,fever,skin rash,"Cetirizine, Paracetamol, Diclofenac"
fever,cough,joint pain,"Azithromycin, Paracetamol, Diclofenac"
nausea,inflammation,fever,"Aciloc, Paracetamol, Diclofenac"
fever,heartburn,,"Aciloc, Paracetamol"
sore throat,headache,,"Azithromycin, Paracetamol"
stomach acid,,,Aciloc
headache,itchy eyes,nausea,"Cetirizine, Aciloc, Paracetamol"
respiratory infection,joint pain,,"Azithromycin, Diclofenac"
runny nose,fever,sneezing,"Cetirizine, Paracetamol"
nausea,headache,fungal infection,"Cetirizine, Aciloc, Paracetamol"
muscle pain,,,Paracetamol
itchy eyes,,,Cetirizine
sore throat,,,Azithromycin
headache,nausea,fungal infection,"Cetirizine, Aciloc, Paracetamol"
itchy eyes,,,Cetirizine
stomach cramps,muscle pain,skin rash,"Cetirizine, Lomotil, Paracetamol"
nausea,runny nose,respiratory infection,"Cetirizine, Aciloc, Azithromycin"
joint pain,fever,,"Paracetamol, Diclofenac"
runny nose,,,Cetirizine
fungal infection,,,Cetirizine
inflammation,joint pain,muscle pain,"Paracetamol, Diclofenac"
itchy eyes,,,Cetirizine
cough,runny nose,fever,"Cetirizine, Azithromycin, Paracetamol"
cough,muscle pain,nausea,"Azithromycin, Paracetamol, Aciloc"
diarrhea,,,Lomotil
pain,heartburn,,"Aciloc, Diclofenac"
itchy eyes,respiratory infection,fever,"Cetirizine, Azithromycin, Paracetamol"
headache,,,Paracetamol
muscle pain,,,Paracetamol
joint pain,sneezing,fungal infection,"Cetirizine, Diclofenac"
cough,diarrhea,,"Azithromycin, Lomotil"
sore throat,joint pain,,"Azithromycin, Diclofenac"
fever,,,Paracetamol
nausea,diarrhea,,"Aciloc, Lomotil"
pain,diarrhea,,"Lomotil, Diclofenac"
muscle pain,stomach cramps,,"Lomotil, Paracetamol"
stomach acid,,,Aciloc
heartburn,,,Aciloc
pain,,,Diclofenac
respiratory infection,nausea,,"Azithromycin, Aciloc"
nausea,skin rash,,"Cetirizine, Aciloc"
cough,nausea,fever,"Azithromycin, Aciloc, Paracetamol"
nausea,itchy eyes,,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
runny nose,itchy eyes,bacterial infection,"Cetirizine, Azithromycin"
nausea,,,Aciloc
fever,,,Paracetamol
inflammation,headache,,"Paracetamol, Diclofenac"
nausea,sore throat,,"Azithromycin, Aciloc"
nausea,cough,inflammation,"Azithromycin, Aciloc, Diclofenac"
diarrhea,muscle pain,,"Lomotil, Paracetamol"
muscle pain,pain,,"Paracetamol, Diclofenac"
fungal infection,itchy eyes,,Cetirizine
itchy eyes,heartburn,,"Cetirizine, Aciloc"
sore throat,,,Azithromycin
inflammation,itchy eyes,skin rash,"Cetirizine, Diclofenac"
stomach cramps,runny nose,,"Cetirizine, Lomotil"
sneezing,,,Cetirizine
muscle pain,respiratory infection,,"Azithromycin, Paracetamol"
joint pain,,,Diclofenac
muscle pain,,,Paracetamol
sneezing,,,Cetirizine
heartburn,bacterial infection,itchy eyes,"Azithromycin, Aciloc, Cetirizine"
sore throat,,,Azithromycin
bacterial infection,,,Azithromycin
cough,,,Azithromycin
bacterial infection,pain,inflammation,"Azithromycin, Diclofenac"
inflammation,,,Diclofenac
fever,pain,,"Paracetamol, Diclofenac"
fever,sneezing,,"Cetirizine, Paracetamol"
heartburn,inflammation,,"Aciloc, Diclofenac"
stomach cramps,skin rash,,"Cetirizine, Lomotil"
stomach cramps,,,Lomotil
headache,skin rash,fever,"Cetirizine, Paracetamol"
heartburn,respiratory infection,bacterial infection,"Azithromycin, Aciloc"
respiratory infection,stomach cramps,runny nose,"Cetirizine, Azithromycin, Lomotil"
stomach acid,fungal infection,,"Cetirizine, Aciloc"
muscle pain,fever,runny nose,"Cetirizine, Paracetamol"
headache,respiratory infection,,"Azithromycin, Paracetamol"
runny nose,fever,headache,"Cetirizine, Paracetamol"
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
respiratory infection,,,Azithromycin
bacterial infection,,,Azithromycin
sore throat,stomach acid,,"Azithromycin, Aciloc"
fever,,,Paracetamol
joint pain,respiratory infection,,"Azithromycin, Diclofenac"
sore throat,,,Azithromycin
inflammation,bacterial infection,fungal infection,"Cetirizine, Azithromycin, Diclofenac"
stomach cramps,inflammation,,"Lomotil, Diclofenac"
sneezing,sore throat,,"Cetirizine, Azithromycin"
fever,headache,joint pain,"Paracetamol, Diclofenac"
stomach cramps,,,Lomotil
runny nose,,,Cetirizine
heartburn,headache,,"Aciloc, Paracetamol"
nausea,stomach cramps,,"Aciloc, Lomotil"
stomach cramps,headache,inflammation,"Lomotil, Paracetamol, Diclofenac"
cough,headache,,"Azithromycin, Paracetamol"
itchy eyes,bacterial infection,diarrhea,"Cetirizine, Azithromycin, Lomotil"
sore throat,sneezing,,"Cetirizine, Azithromycin"
inflammation,nausea,cough,"Azithromycin, Aciloc, Diclofenac"
pain,skin rash,heartburn,"Cetirizine, Aciloc, Diclofenac"
nausea,,,Aciloc
diarrhea,inflammation,,"Lomotil, Diclofenac"
cough,,,Azithromycin
runny nose,,,Cetirizine
skin rash,sneezing,,Cetirizine
joint pain,cough,sneezing,"Cetirizine, Azithromycin, Diclofenac"
diarrhea,headache,sneezing,"Cetirizine, Lomotil, Paracetamol"
heartburn,sore throat,inflammation,"Azithromycin, Aciloc, Diclofenac"
sore throat,,,Azithromycin
joint pain,inflammation,stomach cramps,"Lomotil, Diclofenac"
runny nose,,,Cetirizine
itchy eyes,skin rash,cough,"Cetirizine, Azithromycin"
respiratory infection,,,Azithromycin
pain,cough,respiratory infection,"Azithromycin, Diclofenac"
heartburn,muscle pain,,"Aciloc, Paracetamol"
runny nose,,,Cetirizine
stomach acid,itchy eyes,,"Cetirizine, Aciloc"
headache,respiratory infection,skin rash,"Cetirizine, Azithromycin, Paracetamol"
stomach cramps,stomach acid,,"Aciloc, Lomotil"
runny nose,bacterial infection,sneezing,"Cetirizine, Azithromycin"
fever,sneezing,fungal infection,"Cetirizine, Paracetamol"
respiratory infection,inflammation,heartburn,"Azithromycin, Aciloc, Diclofenac"
diarrhea,,,Lomotil
fungal infection,stomach acid,,"Cetirizine, Aciloc"
muscle pain,sneezing,cough,"Cetirizine, Azithromycin, Paracetamol"
stomach acid,headache,,"Aciloc, Paracetamol"
inflammation,,,Diclofenac
itchy eyes,fever,,"Cetirizine, Paracetamol"
fungal infection,,,Cetirizine
skin rash,fungal infection,,Cetirizine
heartburn,,,Aciloc
nausea,stomach acid,skin rash,"Cetirizine, Aciloc"
respiratory infection,,,Azithromycin
pain,stomach acid,diarrhea,"Aciloc, Lomotil, Diclofenac"
diarrhea,,,Lomotil
runny nose,nausea,,"Cetirizine, Aciloc"
skin rash,respiratory infection,joint pain,"Cetirizine, Azithromycin, Diclofenac"
sneezing,headache,muscle pain,"Cetirizine, Paracetamol"
fever,stomach acid,,"Aciloc, Paracetamol"
headache,itchy eyes,respiratory infection,"Cetirizine, Azithromycin, Paracetamol"
diarrhea,bacterial infection,cough,"Azithromycin, Lomotil"
itchy eyes,skin rash,diarrhea,"Cetirizine, Lomotil"
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
itchy eyes,sore throat,fever,"Cetirizine, Azithromycin, Paracetamol"
respiratory infection,headache,heartburn,"Azithromycin, Paracetamol, Aciloc"
muscle pain,fungal infection,itchy eyes,"Cetirizine, Paracetamol"
heartburn,bacterial infection,,"Azithromycin, Aciloc"
bacterial infection,,,Azithromycin
stomach cramps,fungal infection,respiratory infection,"Cetirizine, Azithromycin, Lomotil"
fungal infection,joint pain,diarrhea,"Cetirizine, Lomotil, Diclofenac"
fungal infection,headache,,"Cetirizine, Paracetamol"
fever,sneezing,,"Cetirizine, Paracetamol"
itchy eyes,fever,,"Cetirizine, Paracetamol"
fever,itchy eyes,diarrhea,"Cetirizine, Lomotil, Paracetamol"
bacterial infection,cough,,Azithromycin
stomach cramps,sore throat,nausea,"Azithromycin, Lomotil, Aciloc"
sore throat,,,Azithromycin
fever,,,Paracetamol
cough,pain,headache,"Azithromycin, Paracetamol, Diclofenac"
stomach cramps,,,Lomotil
sore throat,diarrhea,bacterial infection,"Azithromycin, Lomotil"
fever,pain,,"Paracetamol, Diclofenac"
sneezing,fungal infection,pain,"Cetirizine, Diclofenac"
inflammation,itchy eyes,diarrhea,"Cetirizine, Lomotil, Diclofenac"
inflammation,stomach cramps,,"Lomotil, Diclofenac"
fever,inflammation,,"Paracetamol, Diclofenac"
respiratory infection,,,Azithromycin
headache,,,Paracetamol
stomach cramps,joint pain,,"Lomotil, Diclofenac"
itchy eyes,joint pain,,"Cetirizine, Diclofenac"
stomach cramps,,,Lomotil
muscle pain,itchy eyes,,"Cetirizine, Paracetamol"
fever,,,Paracetamol
joint pain,,,Diclofenac
skin rash,heartburn,headache,"Cetirizine, Aciloc, Paracetamol"
muscle pain,pain,inflammation,"Paracetamol, Diclofenac"
itchy eyes,sneezing,,Cetirizine
diarrhea,skin rash,,"Cetirizine, Lomotil"
inflammation,,,Diclofenac
diarrhea,muscle pain,,"Lomotil, Paracetamol"
respiratory infection,,,Azithromycin
inflammation,itchy eyes,stomach acid,"Cetirizine, Aciloc, Diclofenac"
sore throat,stomach acid,,"Azithromycin, Aciloc"
stomach acid,sneezing,,"Cetirizine, Aciloc"
pain,skin rash,sore throat,"Cetirizine, Azithromycin, Diclofenac"
cough,headache,,"Azithromycin, Paracetamol"
inflammation,pain,,Diclofenac
cough,fungal infection,,"Cetirizine, Azithromycin"
pain,diarrhea,sneezing,"Cetirizine, Lomotil, Diclofenac"
joint pain,muscle pain,,"Paracetamol, Diclofenac"
muscle pain,nausea,,"Aciloc, Paracetamol"
pain,,,Diclofenac
itchy eyes,headache,,"Cetirizine, Paracetamol"
sneezing,nausea,skin rash,"Cetirizine, Aciloc"
bacterial infection,,,Azithromycin
cough,fever,headache,"Azithromycin, Paracetamol"
skin rash,,,Cetirizine
nausea,inflammation,,"Aciloc, Diclofenac"
bacterial infection,,,Azithromycin
headache,inflammation,muscle pain,"Paracetamol, Diclofenac"
bacterial infection,stomach acid,,"Azithromycin, Aciloc"
stomach cramps,headache,respiratory infection,"Azithromycin, Lomotil, Paracetamol"
fever,cough,inflammation,"Azithromycin, Paracetamol, Diclofenac"
joint pain,,,Diclofenac
sore throat,fever,muscle pain,"Azithromycin, Paracetamol"
cough,,,Azithromycin
muscle pain,itchy eyes,pain,"Cetirizine, Paracetamol, Diclofenac"
inflammation,,,Diclofenac
bacterial infection,,,Azithromycin
headache,fungal infection,,"Cetirizine, Paracetamol"
muscle pain,diarrhea,,"Lomotil, Paracetamol"
skin rash,sore throat,,"Cetirizine, Azithromycin"
runny nose,sore throat,nausea,"Cetirizine, Azithromycin, Aciloc"
respiratory infection,,,Azithromycin
bacterial infection,headache,,"Azithromycin, Paracetamol"
joint pain,diarrhea,,"Lomotil, Diclofenac"
bacterial infection,joint pain,,"Azithromycin, Diclofenac"
headache,sneezing,,"Cetirizine, Paracetamol"
joint pain,,,Diclofenac
itchy eyes,runny nose,skin rash,Cetirizine
nausea,itchy eyes,,"Cetirizine, Aciloc"
skin rash,fever,,"Cetirizine, Paracetamol"
cough,itchy eyes,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
itchy eyes,cough,stomach cramps,"Cetirizine, Azithromycin, Lomotil"
muscle pain,joint pain,stomach acid,"Aciloc, Paracetamol, Diclofenac"
fungal infection,pain,itchy eyes,"Cetirizine, Diclofenac"
respiratory infection,,,Azithromycin
pain,nausea,bacterial infection,"Azithromycin, Aciloc, Diclofenac"
runny nose,heartburn,,"Cetirizine, Aciloc"
bacterial infection,muscle pain,runny nose,"Cetirizine, Azithromycin, Paracetamol"
inflammation,,,Diclofenac
diarrhea,pain,,"Lomotil, Diclofenac"
fever,stomach cramps,,"Lomotil, Paracetamol"
fever,,,Paracetamol
sore throat,,,Azithromycin
heartburn,joint pain,,"Aciloc, Diclofenac"
diarrhea,skin rash,stomach cramps,"Cetirizine, Lomotil"
bacterial infection,,,Azithromycin
inflammation,fever,,"Paracetamol, Diclofenac"
nausea,sneezing,,"Cetirizine, Aciloc"
diarrhea,muscle pain,,"Lomotil, Paracetamol"
diarrhea,cough,,"Azithromycin, Lomotil"
bacterial infection,headache,,"Azithromycin, Paracetamol"
fever,sore throat,pain,"Azithromycin, Paracetamol, Diclofenac"
joint pain,stomach acid,,"Aciloc, Diclofenac"
skin rash,fungal infection,cough,"Cetirizine, Azithromycin"
sore throat,sneezing,bacterial infection,"Cetirizine, Azithromycin"
fungal infection,heartburn,,"Cetirizine, Aciloc"
headache,,,Paracetamol
pain,skin rash,,"Cetirizine, Diclofenac"
pain,heartburn,,"Aciloc, Diclofenac"
muscle pain,sneezing,bacterial infection,"Cetirizine, Azithromycin, Paracetamol"
headache,diarrhea,,"Lomotil, Paracetamol"
respiratory infection,,,Azithromycin
stomach cramps,,,Lomotil
headache,bacterial infection,nausea,"Azithromycin, Paracetamol, Aciloc"
cough,respiratory infection,joint pain,"Azithromycin, Diclofenac"
muscle pain,sore throat,bacterial infection,"Azithromycin, Paracetamol"
itchy eyes,pain,runny nose,"Cetirizine, Diclofenac"
pain,nausea,fever,"Aciloc, Paracetamol, Diclofenac"
pain,inflammation,itchy eyes,"Cetirizine, Diclofenac"
sore throat,skin rash,runny nose,"Cetirizine, Azithromycin"
skin rash,runny nose,bacterial infection,"Cetirizine, Azithromycin"
sneezing,cough,,"Cetirizine, Azithromycin"
sneezing,joint pain,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
runny nose,fever,,"Cetirizine, Paracetamol"
joint pain,,,Diclofenac
diarrhea,fungal infection,,"Cetirizine, Lomotil"
cough,,,Azithromycin
itchy eyes,nausea,,"Cetirizine, Aciloc"
sore throat,bacterial infection,diarrhea,"Azithromycin, Lomotil"
sneezing,runny nose,,Cetirizine
diarrhea,,,Lomotil
inflammation,joint pain,muscle pain,"Paracetamol, Diclofenac"
inflammation,,,Diclofenac
pain,runny nose,respiratory infection,"Cetirizine, Azithromycin, Diclofenac"
diarrhea,,,Lomotil
joint pain,fever,stomach acid,"Aciloc, Paracetamol, Diclofenac"
fever,muscle pain,skin rash,"Cetirizine, Paracetamol"
inflammation,sneezing,,"Cetirizine, Diclofenac"
bacterial infection,cough,pain,"Azithromycin, Diclofenac"
stomach cramps,headache,sore throat,"Azithromycin, Lomotil, Paracetamol"
heartburn,bacterial infection,pain,"Azithromycin, Aciloc, Diclofenac"
pain,sneezing,,"Cetirizine, Diclofenac"
skin rash,headache,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
diarrhea,muscle pain,,"Lomotil, Paracetamol"
diarrhea,,,Lomotil
respiratory infection,,,Azithromycin
muscle pain,heartburn,bacterial infection,"Azithromycin, Aciloc, Paracetamol"
muscle pain,respiratory infection,,"Azithromycin, Paracetamol"
respiratory infection,fungal infection,,"Cetirizine, Azithromycin"
muscle pain,,,Paracetamol
headache,,,Paracetamol
stomach acid,,,Aciloc
itchy eyes,muscle pain,,"Cetirizine, Paracetamol"
headache,cough,,"Azithromycin, Paracetamol"
itchy eyes,sore throat,,"Cetirizine, Azithromycin"
itchy eyes,pain,,"Cetirizine, Diclofenac"
stomach acid,itchy eyes,,"Cetirizine, Aciloc"
runny nose,bacterial infection,inflammation,"Cetirizine, Azithromycin, Diclofenac"
nausea,respiratory infection,skin rash,"Azithromycin, Aciloc, Cetirizine"
pain,inflammation,,Diclofenac
sore throat,pain,,"Azithromycin, Diclofenac"
stomach cramps,,,Lomotil
respiratory infection,,,Azithromycin
stomach cramps,sneezing,respiratory infection,"Cetirizine, Azithromycin, Lomotil"
muscle pain,runny nose,cough,"Cetirizine, Azithromycin, Paracetamol"
nausea,cough,runny nose,"Azithromycin, Aciloc, Cetirizine"
muscle pain,,,Paracetamol
nausea,,,Aciloc
pain,nausea,,"Aciloc, Diclofenac"
inflammation,bacterial infection,,"Azithromycin, Diclofenac"
runny nose,,,Cetirizine
bacterial infection,stomach acid,,"Azithromycin, Aciloc"
skin rash,pain,,"Cetirizine, Diclofenac"
sore throat,,,Azithromycin
nausea,,,Aciloc
stomach acid,,,Aciloc
pain,stomach acid,,"Aciloc, Diclofenac"
heartburn,,,Aciloc
skin rash,cough,,"Cetirizine, Azithromycin"
diarrhea,joint pain,,"Lomotil, Diclofenac"
respiratory infection,,,Azithromycin
stomach acid,,,Aciloc
headache,heartburn,runny nose,"Cetirizine, Aciloc, Paracetamol"
skin rash,pain,cough,"Cetirizine, Azithromycin, Diclofenac"
joint pain,,,Diclofenac
bacterial infection,,,Azithromycin
sore throat,nausea,diarrhea,"Azithromycin, Lomotil, Aciloc"
heartburn,,,Aciloc
sore throat,joint pain,,"Azithromycin, Diclofenac"
sore throat,pain,,"Azithromycin, Diclofenac"
sneezing,bacterial infection,diarrhea,"Cetirizine, Azithromycin, Lomotil"
pain,sore throat,,"Azithromycin, Diclofenac"
cough,fever,,"Azithromycin, Paracetamol"
skin rash,heartburn,stomach acid,"Cetirizine, Aciloc"
skin rash,inflammation,,"Cetirizine, Diclofenac"
respiratory infection,,,Azithromycin
skin rash,joint pain,,"Cetirizine, Diclofenac"
headache,stomach cramps,,"Lomotil, Paracetamol"
diarrhea,inflammation,,"Lomotil, Diclofenac"
respiratory infection,fungal infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
heartburn,diarrhea,,"Aciloc, Lomotil"
cough,skin rash,sneezing,"Cetirizine, Azithromycin"
sore throat,fungal infection,joint pain,"Cetirizine, Azithromycin, Diclofenac"
